"id","student_id","course_id","course_schedule_id","admission_date","amount","discount","payment_status","payment_id","next_payment_date","status","created_at","updated_at"
"49","49","66","105","2022-10-29","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"50","50","67","107","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"51","51","68","110","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"52","52","73","123","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"53","53","66","105","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"54","54","73","123","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"55","55","66","105","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"56","56","66","105","2022-10-31","0.00","0.00","pending","0","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"57","57","134","184","2022-11-03","0.00","0.00","pending","57","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"58","58","74","124","2022-11-07","0.00","0.00","pending","58","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"59","59","135","185","2022-11-08","0.00","0.00","pending","59","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"60","60","75","125","2022-11-08","0.00","0.00","pending","60","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"61","61","134","184","2022-11-08","0.00","0.00","pending","61","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"62","62","114","164","2022-11-08","0.00","0.00","pending","62","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"63","63","76","126","2022-11-09","0.00","0.00","pending","63","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"64","64","134","184","2022-11-09","0.00","0.00","pending","64","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"65","65","134","184","2022-11-10","0.00","0.00","pending","65","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"66","66","77","127","2022-11-11","0.00","0.00","pending","66","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"67","67","136","186","2022-11-12","0.00","0.00","pending","67","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"68","68","115","165","2022-11-12","0.00","0.00","pending","68","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"69","69","134","184","2022-11-14","0.00","0.00","pending","69","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"70","70","134","184","2022-11-15","0.00","0.00","pending","70","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"71","71","137","187","2022-11-19","0.00","0.00","pending","71","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"72","72","138","188","2022-11-20","0.00","0.00","pending","72","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"73","73","116","166","2022-11-20","0.00","0.00","pending","73","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"74","74","134","184","2022-11-22","0.00","0.00","pending","74","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"75","75","134","184","2022-11-22","0.00","0.00","pending","75","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"76","76","135","185","2022-11-23","0.00","0.00","pending","76","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"77","77","135","185","2022-11-24","0.00","0.00","pending","77","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"78","78","137","187","2022-11-26","0.00","0.00","pending","78","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"79","79","117","167","2022-11-27","0.00","0.00","pending","79","2024-09-29","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"80","80","137","187","2022-11-28","0.00","0.00","pending","80","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"81","81","134","184","2022-11-28","0.00","0.00","pending","81","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"82","82","134","184","2022-11-29","0.00","0.00","pending","82","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"83","83","136","186","2022-11-30","0.00","0.00","pending","83","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"84","84","134","184","2022-11-30","0.00","0.00","pending","84","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"85","85","118","168","2022-11-30","0.00","0.00","pending","85","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"86","86","139","189","2022-11-30","0.00","0.00","pending","86","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"87","87","136","186","2022-11-30","0.00","0.00","pending","87","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"88","88","134","184","2022-11-30","0.00","0.00","pending","88","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"89","89","140","190","2022-11-30","0.00","0.00","pending","89","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"90","90","134","184","2022-12-07","0.00","0.00","pending","90","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"91","91","78","128","2022-12-08","0.00","0.00","pending","91","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
